
TBD1 vs NYM 2021 Record 

TBD2 vs MIA 2021 Record 

TBD3 vs NYM 2021 Record 

TBD4 vs MIA 2021 Record 

Mills vs PIT 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,5,1,0,3,2,8,15,34
Percentage,14.71%,2.94%,0.00%,8.82%,5.88%,23.53%,44.12%,67.65%
Avr. Est. BABIP Against,0.58,0.32,0,0.94,N/A,N/A,0.18,0.42
Avr. Est. WOBA Against,0.58,0.3,0,1.93,N/A,N/A,0.18,0.54

Keller vs CHC 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,11,1,0,1,5,19,23,60
Percentage,18.33%,1.67%,0.00%,1.67%,8.33%,31.67%,38.33%,70.00%
Avr. Est. BABIP Against,0.49,0.54,0,0.96,N/A,N/A,0.14,0.28
Avr. Est. WOBA Against,0.49,0.81,0,1.95,N/A,N/A,0.15,0.32

Sale vs BAL 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,4,1,0,3,0,9,18,35
Percentage,11.43%,2.86%,0.00%,8.57%,0.00%,25.71%,51.43%,77.14%
Avr. Est. BABIP Against,0.33,0.89,0,0.57,N/A,N/A,0.2,0.3
Avr. Est. WOBA Against,0.31,0.85,0,1.12,N/A,N/A,0.21,0.36

Zimmermann vs BOS 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,5,4,0,2,2,9,23,45
Percentage,11.11%,8.89%,0.00%,4.44%,4.44%,20.00%,51.11%,71.11%
Avr. Est. BABIP Against,0.55,0.59,0,0.95,N/A,N/A,0.26,0.39
Avr. Est. WOBA Against,0.54,0.82,0,1.93,N/A,N/A,0.31,0.51

Taillon vs TOR 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,7,2,0,3,3,8,20,43
Percentage,16.28%,4.65%,0.00%,6.98%,6.98%,18.60%,46.51%,65.12%
Avr. Est. BABIP Against,0.54,0.46,0,0.32,N/A,N/A,0.15,0.31
Avr. Est. WOBA Against,0.51,0.61,0,0.57,N/A,N/A,0.17,0.35

Jin Ryu vs NYY 2021 Record 

Wheeler vs ATL 2021 Record 
