Anderson vs STL 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,6,4,0,1,3,1,14,29
Percentage,20.69%,13.79%,0.00%,3.45%,10.34%,3.45%,48.28%,51.72%
Avr. Est. BABIP Against,0.63,0.72,0,0.37,N/A,N/A,0.3,0.49
Avr. Est. WOBA Against,0.59,0.71,0,0.72,N/A,N/A,0.32,0.52
,,,,,,,,
Happ vs MIL 2021 Record ,,,,,,,,
,,,,,,,,
Cobb vs TEX 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,4,2,0,0,0,2,4,12
Percentage,33.33%,16.67%,0.00%,0.00%,0.00%,16.67%,33.33%,50.00%
Avr. Est. BABIP Against,0.54,0.22,0,0,N/A,N/A,0.52,0.47
Avr. Est. WOBA Against,0.53,0.23,0,0,N/A,N/A,0.52,0.46
,,,,,,,,
Otto vs LAA 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,4,0,0,0,1,4,7,16
Percentage,25.00%,0.00%,0.00%,0.00%,6.25%,25.00%,43.75%,68.75%
Avr. Est. BABIP Against,0.45,0,0,0,N/A,N/A,0.26,0.4
Avr. Est. WOBA Against,0.41,0,0,0,N/A,N/A,0.24,0.37
,,,,,,,,
Steele vs PIT 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,0,0,0,0,1,2,4,7
Percentage,0.00%,0.00%,0.00%,0.00%,14.29%,28.57%,57.14%,85.71%
Avr. Est. BABIP Against,0,0,0,0,N/A,N/A,0.11,0.11
Avr. Est. WOBA Against,0,0,0,0,N/A,N/A,0.1,0.1
,,,,,,,,
Yajure vs CHC 2021 Record ,,,,,,,,
,,,,,,,,
Pivetta vs BAL 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,12,2,1,5,9,20,35,84
Percentage,14.29%,2.38%,1.19%,5.95%,10.71%,23.81%,41.67%,65.48%
Avr. Est. BABIP Against,0.61,0.55,0.85,0.5,N/A,N/A,0.22,0.39
Avr. Est. WOBA Against,0.58,0.6,1.49,0.84,N/A,N/A,0.24,0.44
,,,,,,,,
Wells vs BOS 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,3,2,0,1,1,3,11,21
Percentage,14.29%,9.52%,0.00%,4.76%,4.76%,14.29%,52.38%,66.67%
Avr. Est. BABIP Against,0.57,0.36,0,0.06,N/A,N/A,0.19,0.27
Avr. Est. WOBA Against,0.55,0.44,0,0.1,N/A,N/A,0.19,0.28
,,,,,,,,
Kluber vs TOR 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,9,0,0,4,8,14,11,46
Percentage,19.57%,0.00%,0.00%,8.70%,17.39%,30.43%,23.91%,54.35%
Avr. Est. BABIP Against,0.45,0,0,0.84,N/A,N/A,0.19,0.42
Avr. Est. WOBA Against,0.42,0,0,1.48,N/A,N/A,0.18,0.51
,,,,,,,,
Ray vs NYY 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,4,1,0,3,5,8,14,35
Percentage,11.43%,2.86%,0.00%,8.57%,14.29%,22.86%,40.00%,62.86%
Avr. Est. BABIP Against,0.69,0.72,0,0.94,N/A,N/A,0.16,0.41
Avr. Est. WOBA Against,0.65,1.02,0,1.82,N/A,N/A,0.19,0.56
,,,,,,,,
McHugh vs HOU 2021 Record ,,,,,,,,
,,,,,,,,
McCullers Jr. vs TB 2021 Record ,,,,,,,,
,,,,,,,,
Cabrera vs NYM 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,5,1,0,2,4,3,9,24
Percentage,20.83%,4.17%,0.00%,8.33%,16.67%,12.50%,37.50%,50.00%
Avr. Est. BABIP Against,0.47,0.91,0,0.96,N/A,N/A,0.15,0.42
Avr. Est. WOBA Against,0.45,0.9,0,1.92,N/A,N/A,0.16,0.53
,,,,,,,,
Hill vs MIA 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,9,3,0,1,3,15,24,55
Percentage,16.36%,5.45%,0.00%,1.82%,5.45%,27.27%,43.64%,70.91%
Avr. Est. BABIP Against,0.52,0.72,0,0.19,N/A,N/A,0.23,0.36
Avr. Est. WOBA Against,0.52,0.78,0,0.34,N/A,N/A,0.23,0.37
,,,,,,,,
Gibson vs ATL 2021 Record ,,,,,,,,
,,,,,,,,
Anderson vs PHI 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,13,2,0,4,7,24,38,88
Percentage,14.77%,2.27%,0.00%,4.55%,7.95%,27.27%,43.18%,70.45%
Avr. Est. BABIP Against,0.45,0.55,0,0.9,N/A,N/A,0.24,0.36
Avr. Est. WOBA Against,0.43,0.77,0,1.62,N/A,N/A,0.24,0.41
,,,,,,,,
Skubal vs MIN 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,5,1,0,4,3,13,18,44
Percentage,11.36%,2.27%,0.00%,9.09%,6.82%,29.55%,40.91%,70.45%
Avr. Est. BABIP Against,0.32,0.52,0,0.66,N/A,N/A,0.23,0.33
Avr. Est. WOBA Against,0.3,0.46,0,1.27,N/A,N/A,0.28,0.45
,,,,,,,,
Ryan vs DET 2021 Record ,,,,,,,,
,,,,,,,,
Bieber vs KC 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,7,3,0,2,5,21,12,50
Percentage,14.00%,6.00%,0.00%,4.00%,10.00%,42.00%,24.00%,66.00%
Avr. Est. BABIP Against,0.62,0.67,0,0.92,N/A,N/A,0.21,0.48
Avr. Est. WOBA Against,0.61,0.98,0,1.79,N/A,N/A,0.25,0.61
,,,,,,,,
Zerpa vs CLE 2021 Record ,,,,,,,,
,,,,,,,,
Bumgarner vs SF 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,3,2,0,1,1,4,15,26
Percentage,11.54%,7.69%,0.00%,3.85%,3.85%,15.38%,57.69%,73.08%
Avr. Est. BABIP Against,0.64,0.62,0,0.74,N/A,N/A,0.2,0.37
Avr. Est. WOBA Against,0.6,0.83,0,1.42,N/A,N/A,0.2,0.42
,,,,,,,,
Kazmir vs ARI 2021 Record ,,,,,,,,
,,,,,,,,
Velasquez vs LAD 2021 Record ,,,,,,,,
,,,,,,,,
Gonsolin vs SD 2021 Record ,,,,,,,,
