
Lyles vs SF 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,6,1,0,1,8,9,14,39
Percentage,15.38%,2.56%,0.00%,2.56%,20.51%,23.08%,35.90%,58.97%
Avr. Est. BABIP Against,0.7,0.66,0,0.84,N/A,N/A,0.13,0.39
Avr. Est. WOBA Against,0.74,0.75,0,1.59,N/A,N/A,0.14,0.44

Webb vs TEX 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,2,0,0,1,2,10,7,22
Percentage,9.09%,0.00%,0.00%,4.55%,9.09%,45.45%,31.82%,77.27%
Avr. Est. BABIP Against,0.64,0,0,0.88,N/A,N/A,0.23,0.42
Avr. Est. WOBA Against,0.62,0,0,1.71,N/A,N/A,0.23,0.49

Alzolay vs CLE 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,4,0,0,4,1,11,17,37
Percentage,10.81%,0.00%,0.00%,10.81%,2.70%,29.73%,45.95%,75.68%
Avr. Est. BABIP Against,0.41,0,0,0.88,N/A,N/A,0.21,0.38
Avr. Est. WOBA Against,0.38,0,0,1.7,N/A,N/A,0.24,0.52

Bieber vs CHC 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,5,3,0,1,3,7,6,25
Percentage,20.00%,12.00%,0.00%,4.00%,12.00%,28.00%,24.00%,52.00%
Avr. Est. BABIP Against,0.65,0.69,0,0.74,N/A,N/A,0.2,0.54
Avr. Est. WOBA Against,0.63,0.91,0,1.42,N/A,N/A,0.18,0.62

Hoffman vs PIT 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,4,2,1,0,3,10,12,32
Percentage,12.50%,6.25%,3.12%,0.00%,9.38%,31.25%,37.50%,68.75%
Avr. Est. BABIP Against,0.61,0.28,0.46,0,N/A,N/A,0.15,0.29
Avr. Est. WOBA Against,0.57,0.37,0.71,0,N/A,N/A,0.14,0.3

Brubaker vs CIN 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,8,4,0,3,9,15,24,63
Percentage,12.70%,6.35%,0.00%,4.76%,14.29%,23.81%,38.10%,61.90%
Avr. Est. BABIP Against,0.59,0.45,0,0.78,N/A,N/A,0.14,0.34
Avr. Est. WOBA Against,0.57,0.51,0,1.54,N/A,N/A,0.17,0.42

Anderson vs WSH 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,3,0,0,4,2,6,25,40
Percentage,7.50%,0.00%,0.00%,10.00%,5.00%,15.00%,62.50%,77.50%
Avr. Est. BABIP Against,0.62,0,0,0.77,N/A,N/A,0.14,0.27
Avr. Est. WOBA Against,0.56,0,0,1.49,N/A,N/A,0.17,0.38

Fedde vs PHI 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,8,6,0,5,7,9,29,64
Percentage,12.50%,9.38%,0.00%,7.81%,10.94%,14.06%,45.31%,59.38%
Avr. Est. BABIP Against,0.47,0.53,0,0.59,N/A,N/A,0.19,0.33
Avr. Est. WOBA Against,0.44,0.66,0,1.09,N/A,N/A,0.19,0.39

Singer vs DET 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,14,4,1,1,5,20,35,80
Percentage,17.50%,5.00%,1.25%,1.25%,6.25%,25.00%,43.75%,68.75%
Avr. Est. BABIP Against,0.6,0.58,0.82,0.32,N/A,N/A,0.13,0.31
Avr. Est. WOBA Against,0.57,0.55,0.86,0.61,N/A,N/A,0.13,0.31

Boyd vs KC 2021 Record 

Means vs NYM 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,6,0,0,0,0,3,12,21
Percentage,28.57%,0.00%,0.00%,0.00%,0.00%,14.29%,57.14%,71.43%
Avr. Est. BABIP Against,0.72,0,0,0,N/A,N/A,0.2,0.39
Avr. Est. WOBA Against,0.7,0,0,0,N/A,N/A,0.26,0.42

Stroman vs BAL 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,5,0,0,0,1,5,11,22
Percentage,22.73%,0.00%,0.00%,0.00%,4.55%,22.73%,50.00%,72.73%
Avr. Est. BABIP Against,0.58,0,0,0,N/A,N/A,0.16,0.33
Avr. Est. WOBA Against,0.55,0,0,0,N/A,N/A,0.16,0.32

Bassitt vs BOS 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,2,0,0,1,0,10,10,23
Percentage,8.70%,0.00%,0.00%,4.35%,0.00%,43.48%,43.48%,86.96%
Avr. Est. BABIP Against,0.86,0,0,0.49,N/A,N/A,0.23,0.37
