Espino vs COL 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,2,1,0,0,3,7,8,21
Percentage,9.52%,4.76%,0.00%,0.00%,14.29%,33.33%,38.10%,71.43%
Avr. Est. BABIP Against,0.92,0.62,0,0,N/A,N/A,0.27,0.5
Avr. Est. WOBA Against,0.87,0.84,0,0,N/A,N/A,0.26,0.5
,,,,,,,,
Lambert vs WSH 2021 Record ,,,,,,,,
,,,,,,,,
Hendricks vs PIT 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,16,2,1,5,7,13,41,85
Percentage,18.82%,2.35%,1.18%,5.88%,8.24%,15.29%,48.24%,63.53%
Avr. Est. BABIP Against,0.47,0.27,0.46,0.61,N/A,N/A,0.27,0.36
Avr. Est. WOBA Against,0.45,0.28,0.71,1.24,N/A,N/A,0.27,0.4
,,,,,,,,
Contreras vs CHC 2021 Record ,,,,,,,,
,,,,,,,,
Eovaldi vs BAL 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,10,1,0,0,2,12,14,39
Percentage,25.64%,2.56%,0.00%,0.00%,5.13%,30.77%,35.90%,66.67%
Avr. Est. BABIP Against,0.4,0.9,0,0,N/A,N/A,0.14,0.29
Avr. Est. WOBA Against,0.37,0.86,0,0,N/A,N/A,0.15,0.29
,,,,,,,,
Lowther vs BOS 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,8,3,0,1,4,5,11,32
Percentage,25.00%,9.38%,0.00%,3.12%,12.50%,15.62%,34.38%,50.00%
Avr. Est. BABIP Against,0.46,0.66,0,0.44,N/A,N/A,0.3,0.43
Avr. Est. WOBA Against,0.43,0.8,0,0.58,N/A,N/A,0.34,0.46
,,,,,,,,
Cole vs TOR 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,12,1,0,4,6,22,43,88
Percentage,13.64%,1.14%,0.00%,4.55%,6.82%,25.00%,48.86%,73.86%
Avr. Est. BABIP Against,0.5,0.86,0,0.69,N/A,N/A,0.2,0.33
Avr. Est. WOBA Against,0.47,0.84,0,1.35,N/A,N/A,0.24,0.4
,,,,,,,,
Berrios vs NYY 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,4,0,0,1,2,8,8,23
Percentage,17.39%,0.00%,0.00%,4.35%,8.70%,34.78%,34.78%,69.57%
Avr. Est. BABIP Against,0.33,0,0,0.62,N/A,N/A,0.08,0.23
Avr. Est. WOBA Against,0.34,0,0,1.18,N/A,N/A,0.08,0.27
,,,,,,,,
Hernandez vs NYM 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,2,2,0,1,1,4,10,20
Percentage,10.00%,10.00%,0.00%,5.00%,5.00%,20.00%,50.00%,70.00%
Avr. Est. BABIP Against,0.58,0.71,0,0.94,N/A,N/A,0.28,0.43
Avr. Est. WOBA Against,0.56,0.89,0,1.76,N/A,N/A,0.28,0.51
,,,,,,,,
Walker vs MIA 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,13,4,0,2,4,14,31,68
Percentage,19.12%,5.88%,0.00%,2.94%,5.88%,20.59%,45.59%,66.18%
Avr. Est. BABIP Against,0.52,0.57,0,0.88,N/A,N/A,0.19,0.34
Avr. Est. WOBA Against,0.49,0.69,0,1.77,N/A,N/A,0.25,0.41
,,,,,,,,
Nola vs ATL 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,9,6,1,6,3,26,43,94
Percentage,9.57%,6.38%,1.06%,6.38%,3.19%,27.66%,45.74%,73.40%
Avr. Est. BABIP Against,0.57,0.54,0.29,0.89,N/A,N/A,0.22,0.36
Avr. Est. WOBA Against,0.54,0.55,0.32,1.72,N/A,N/A,0.25,0.46
,,,,,,,,
Fried vs PHI 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,7,4,0,1,6,14,9,41
Percentage,17.07%,9.76%,0.00%,2.44%,14.63%,34.15%,21.95%,56.10%
Avr. Est. BABIP Against,0.57,0.49,0,0.62,N/A,N/A,0.32,0.48
Avr. Est. WOBA Against,0.55,0.51,0,1.24,N/A,N/A,0.51,0.59
,,,,,,,,
Mize vs MIN 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,5,4,0,1,3,8,20,41
Percentage,12.20%,9.76%,0.00%,2.44%,7.32%,19.51%,48.78%,68.29%
Avr. Est. BABIP Against,0.8,0.69,0,0.99,N/A,N/A,0.21,0.42
Avr. Est. WOBA Against,0.77,0.7,0,1.92,N/A,N/A,0.26,0.48
,,,,,,,,
Pineda vs DET 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,3,1,0,1,0,6,11,22
Percentage,13.64%,4.55%,0.00%,4.55%,0.00%,27.27%,50.00%,77.27%
Avr. Est. BABIP Against,0.49,0.59,0,0.78,N/A,N/A,0.26,0.35
Avr. Est. WOBA Against,0.55,0.81,0,1.52,N/A,N/A,0.34,0.48
,,,,,,,,
Houser vs STL 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,12,1,1,0,6,13,34,67
Percentage,17.91%,1.49%,1.49%,0.00%,8.96%,19.40%,50.75%,70.15%
Avr. Est. BABIP Against,0.65,0.41,0.14,0,N/A,N/A,0.21,0.37
Avr. Est. WOBA Against,0.68,0.38,0.14,0,N/A,N/A,0.21,0.37
,,,,,,,,
Mikolas vs MIL 2021 Record ,,,,,,,,
