Bubic vs DET 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,13,1,0,1,9,13,23,60
Percentage,21.67%,1.67%,0.00%,1.67%,15.00%,21.67%,38.33%,60.00%
Avr. Est. BABIP Against,0.55,0.23,0,0.87,N/A,N/A,0.19,0.38
Avr. Est. WOBA Against,0.53,0.33,0,1.52,N/A,N/A,0.22,0.41
,,,,,,,,
Peralta vs KC 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,2,0,1,2,4,4,15,28
Percentage,7.14%,0.00%,3.57%,7.14%,14.29%,14.29%,53.57%,67.86%
Avr. Est. BABIP Against,0.61,0,0.33,0.47,N/A,N/A,0.23,0.32
Avr. Est. WOBA Against,0.59,0,0.5,0.94,N/A,N/A,0.22,0.37
,,,,,,,,
Dunning vs BAL 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,5,0,0,0,0,5,13,23
Percentage,21.74%,0.00%,0.00%,0.00%,0.00%,21.74%,56.52%,78.26%
Avr. Est. BABIP Against,0.57,0,0,0,N/A,N/A,0.21,0.31
Avr. Est. WOBA Against,0.56,0,0,0,N/A,N/A,0.24,0.33
,,,,,,,,
Means vs TEX 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,2,1,0,0,2,9,9,23
Percentage,8.70%,4.35%,0.00%,0.00%,8.70%,39.13%,39.13%,78.26%
Avr. Est. BABIP Against,0.34,0.83,0,0,N/A,N/A,0.18,0.3
Avr. Est. WOBA Against,0.37,1.4,0,0,N/A,N/A,0.22,0.38
,,,,,,,,
Kranick vs PHI 2021 Record ,,,,,,,,
,,,,,,,,
TBD1 vs PIT 2021 Record ,,,,,,,,
,,,,,,,,
Rogers vs CIN 2021 Record ,,,,,,,,
,,,,,,,,
Mahle vs WSH 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,3,0,0,0,1,2,11,17
Percentage,17.65%,0.00%,0.00%,0.00%,5.88%,11.76%,64.71%,76.47%
Avr. Est. BABIP Against,0.75,0,0,0,N/A,N/A,0.12,0.32
Avr. Est. WOBA Against,0.7,0,0,0,N/A,N/A,0.13,0.31
,,,,,,,,
Giolito vs CLE 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,4,2,1,1,5,16,21,50
Percentage,8.00%,4.00%,2.00%,2.00%,10.00%,32.00%,42.00%,74.00%
Avr. Est. BABIP Against,0.61,0.79,0.89,0.78,N/A,N/A,0.17,0.32
Avr. Est. WOBA Against,0.59,0.78,0.87,1.5,N/A,N/A,0.18,0.35
,,,,,,,,
McKenzie vs CWS 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,3,3,0,5,11,24,19,65
Percentage,4.62%,4.62%,0.00%,7.69%,16.92%,36.92%,29.23%,66.15%
Avr. Est. BABIP Against,0.62,0.57,0,0.63,N/A,N/A,0.25,0.39
Avr. Est. WOBA Against,0.62,0.54,0,1.1,N/A,N/A,0.25,0.46
,,,,,,,,
Luzardo vs TB 2021 Record ,,,,,,,,
,,,,,,,,
Baz vs MIA 2021 Record ,,,,,,,,
,,,,,,,,
Manoah vs MIN 2021 Record ,,,,,,,,
,,,,,,,,
Jax vs TOR 2021 Record ,,,,,,,,
,,,,,,,,
Carrasco vs MIL 2021 Record ,,,,,,,,
,,,,,,,,
Peralta vs NYM 2021 Record ,,,,,,,,
,,,,,,,,
Woodford vs CHC 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,6,1,0,2,0,8,14,31
Percentage,19.35%,3.23%,0.00%,6.45%,0.00%,25.81%,45.16%,70.97%
Avr. Est. BABIP Against,0.64,0.86,0,0.92,N/A,N/A,0.2,0.42
Avr. Est. WOBA Against,0.64,0.9,0,1.73,N/A,N/A,0.24,0.51
,,,,,,,,
Thompson vs STL 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,5,0,0,2,2,7,12,28
Percentage,17.86%,0.00%,0.00%,7.14%,7.14%,25.00%,42.86%,67.86%
Avr. Est. BABIP Against,0.74,0,0,0.76,N/A,N/A,0.19,0.4
Avr. Est. WOBA Against,0.71,0,0,1.49,N/A,N/A,0.24,0.5
,,,,,,,,
Gausman vs COL 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,1,1,1,2,1,9,10,25
Percentage,4.00%,4.00%,4.00%,8.00%,4.00%,36.00%,40.00%,76.00%
Avr. Est. BABIP Against,0.52,0.32,0.4,0.74,N/A,N/A,0.19,0.35
Avr. Est. WOBA Against,0.49,0.39,0.37,1.26,N/A,N/A,0.18,0.41
,,,,,,,,
Senzatela vs SF 2021 Record ,,,,,,,,
,,,,,,,,
Odorizzi vs OAK 2021 Record ,,,,,,,,
,,,,,,,,
Blackburn vs HOU 2021 Record ,,,,,,,,
,,,,,,,,
Gonzales vs LAA 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,3,1,1,2,1,3,11,22
Percentage,13.64%,4.55%,4.55%,9.09%,4.55%,13.64%,50.00%,63.64%
Avr. Est. BABIP Against,0.63,0.73,0.43,0.65,N/A,N/A,0.06,0.29
Avr. Est. WOBA Against,0.62,0.73,0.44,1.21,N/A,N/A,0.06,0.35
,,,,,,,,
Ohtani vs SEA 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
