
Valdez vs BOS 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,14,1,0,1,5,20,25,66
Percentage,21.21%,1.52%,0.00%,1.52%,7.58%,30.30%,37.88%,68.18%
Avr. Est. BABIP Against,0.46,0.47,0,0.96,N/A,N/A,0.22,0.35
Avr. Est. WOBA Against,0.44,0.43,0,1.95,N/A,N/A,0.2,0.35

Sale vs HOU 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,5,0,0,0,1,2,5,13
Percentage,38.46%,0.00%,0.00%,0.00%,7.69%,15.38%,38.46%,53.85%
Avr. Est. BABIP Against,0.67,0,0,0,N/A,N/A,0.23,0.45
Avr. Est. WOBA Against,0.67,0,0,0,N/A,N/A,0.24,0.45

TBD1 vs LAD 2021 Record 

Urias vs ATL 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,7,1,0,3,2,14,19,46
Percentage,15.22%,2.17%,0.00%,6.52%,4.35%,30.43%,41.30%,71.74%
Avr. Est. BABIP Against,0.59,0.84,0,0.73,N/A,N/A,0.14,0.35
Avr. Est. WOBA Against,0.56,1.34,0,1.47,N/A,N/A,0.15,0.44

Valdez vs BOS 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,14,1,0,1,5,20,25,66
Percentage,21.21%,1.52%,0.00%,1.52%,7.58%,30.30%,37.88%,68.18%
Avr. Est. BABIP Against,0.46,0.47,0,0.96,N/A,N/A,0.22,0.35
Avr. Est. WOBA Against,0.44,0.43,0,1.95,N/A,N/A,0.2,0.35

Sale vs HOU 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,5,0,0,0,1,2,5,13
Percentage,38.46%,0.00%,0.00%,0.00%,7.69%,15.38%,38.46%,53.85%
Avr. Est. BABIP Against,0.67,0,0,0,N/A,N/A,0.23,0.45
Avr. Est. WOBA Against,0.67,0,0,0,N/A,N/A,0.24,0.45

TBD1 vs LAD 2021 Record 

Urias vs ATL 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,7,1,0,3,2,14,19,46
Percentage,15.22%,2.17%,0.00%,6.52%,4.35%,30.43%,41.30%,71.74%
Avr. Est. BABIP Against,0.59,0.84,0,0.73,N/A,N/A,0.14,0.35
Avr. Est. WOBA Against,0.56,1.34,0,1.47,N/A,N/A,0.15,0.44

Valdez vs BOS 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,14,1,0,1,5,20,25,66
Percentage,21.21%,1.52%,0.00%,1.52%,7.58%,30.30%,37.88%,68.18%
Avr. Est. BABIP Against,0.46,0.47,0,0.96,N/A,N/A,0.22,0.35
Avr. Est. WOBA Against,0.44,0.43,0,1.95,N/A,N/A,0.2,0.35

Sale vs HOU 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,5,0,0,0,1,2,5,13
Percentage,38.46%,0.00%,0.00%,0.00%,7.69%,15.38%,38.46%,53.85%
Avr. Est. BABIP Against,0.67,0,0,0,N/A,N/A,0.23,0.45
Avr. Est. WOBA Against,0.67,0,0,0,N/A,N/A,0.24,0.45

TBD1 vs LAD 2021 Record 

Urias vs ATL 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,7,1,0,3,2,14,19,46
Percentage,15.22%,2.17%,0.00%,6.52%,4.35%,30.43%,41.30%,71.74%
Avr. Est. BABIP Against,0.59,0.84,0,0.73,N/A,N/A,0.14,0.35
Avr. Est. WOBA Against,0.56,1.34,0,1.47,N/A,N/A,0.15,0.44

Valdez vs BOS 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,14,1,0,1,5,20,25,66
Percentage,21.21%,1.52%,0.00%,1.52%,7.58%,30.30%,37.88%,68.18%
Avr. Est. BABIP Against,0.46,0.47,0,0.96,N/A,N/A,0.22,0.35
Avr. Est. WOBA Against,0.44,0.43,0,1.95,N/A,N/A,0.2,0.35

Sale vs HOU 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,5,0,0,0,1,2,5,13
Percentage,38.46%,0.00%,0.00%,0.00%,7.69%,15.38%,38.46%,53.85%
Avr. Est. BABIP Against,0.67,0,0,0,N/A,N/A,0.23,0.45
Avr. Est. WOBA Against,0.67,0,0,0,N/A,N/A,0.24,0.45

TBD1 vs LAD 2021 Record 

Urias vs ATL 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,7,1,0,3,2,14,19,46
Percentage,15.22%,2.17%,0.00%,6.52%,4.35%,30.43%,41.30%,71.74%
Avr. Est. BABIP Against,0.59,0.84,0,0.73,N/A,N/A,0.14,0.35
Avr. Est. WOBA Against,0.56,1.34,0,1.47,N/A,N/A,0.15,0.44

Valdez vs BOS 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,14,1,0,1,5,20,25,66
Percentage,21.21%,1.52%,0.00%,1.52%,7.58%,30.30%,37.88%,68.18%
Avr. Est. BABIP Against,0.46,0.47,0,0.96,N/A,N/A,0.22,0.35
Avr. Est. WOBA Against,0.44,0.43,0,1.95,N/A,N/A,0.2,0.35

Sale vs HOU 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,5,0,0,0,1,2,5,13
Percentage,38.46%,0.00%,0.00%,0.00%,7.69%,15.38%,38.46%,53.85%
Avr. Est. BABIP Against,0.67,0,0,0,N/A,N/A,0.23,0.45
Avr. Est. WOBA Against,0.67,0,0,0,N/A,N/A,0.24,0.45

TBD1 vs LAD 2021 Record 

Urias vs ATL 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,7,1,0,3,2,14,19,46
Percentage,15.22%,2.17%,0.00%,6.52%,4.35%,30.43%,41.30%,71.74%
Avr. Est. BABIP Against,0.59,0.84,0,0.73,N/A,N/A,0.14,0.35
Avr. Est. WOBA Against,0.56,1.34,0,1.47,N/A,N/A,0.15,0.44

Valdez vs BOS 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,14,1,0,1,5,20,25,66
Percentage,21.21%,1.52%,0.00%,1.52%,7.58%,30.30%,37.88%,68.18%
Avr. Est. BABIP Against,0.46,0.47,0,0.96,N/A,N/A,0.22,0.35
Avr. Est. WOBA Against,0.44,0.43,0,1.95,N/A,N/A,0.2,0.35

Sale vs HOU 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,5,0,0,0,1,2,5,13
Percentage,38.46%,0.00%,0.00%,0.00%,7.69%,15.38%,38.46%,53.85%
Avr. Est. BABIP Against,0.67,0,0,0,N/A,N/A,0.23,0.45
Avr. Est. WOBA Against,0.67,0,0,0,N/A,N/A,0.24,0.45

TBD1 vs LAD 2021 Record 

Urias vs ATL 2021 Record 
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,7,1,0,3,2,14,19,46
Percentage,15.22%,2.17%,0.00%,6.52%,4.35%,30.43%,41.30%,71.74%
Avr. Est. BABIP Against,0.59,0.84,0,0.73,N/A,N/A,0.14,0.35
Avr. Est. WOBA Against,0.56,1.34,0,1.47,N/A,N/A,0.15,0.44
