Lester vs CHC 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,4,1,0,3,0,4,8,20
Percentage,20.00%,5.00%,0.00%,15.00%,0.00%,20.00%,40.00%,60.00%
Avr. Est. BABIP Against,0.51,0.16,0,0.74,N/A,N/A,0.2,0.4
Avr. Est. WOBA Against,0.49,0.16,0,1.31,N/A,N/A,0.2,0.51
,,,,,,,,
Sampson vs STL 2021 Record ,,,,,,,,
,,,,,,,,
Crowe vs PHI 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,1,0,0,0,4,4,13,22
Percentage,4.55%,0.00%,0.00%,0.00%,18.18%,18.18%,59.09%,77.27%
Avr. Est. BABIP Against,0.63,0,0,0,N/A,N/A,0.24,0.28
Avr. Est. WOBA Against,0.56,0,0,0,N/A,N/A,0.23,0.26
,,,,,,,,
Suarez vs PIT 2021 Record ,,,,,,,,
,,,,,,,,
Valdez vs OAK 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,7,3,0,0,2,6,6,24
Percentage,29.17%,12.50%,0.00%,0.00%,8.33%,25.00%,25.00%,50.00%
Avr. Est. BABIP Against,0.38,0.64,0,0,N/A,N/A,0.24,0.39
Avr. Est. WOBA Against,0.36,0.86,0,0,N/A,N/A,0.27,0.43
,,,,,,,,
Manaea vs HOU 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,16,5,0,5,4,17,48,95
Percentage,16.84%,5.26%,0.00%,5.26%,4.21%,17.89%,50.53%,68.42%
Avr. Est. BABIP Against,0.56,0.42,0,0.82,N/A,N/A,0.21,0.35
Avr. Est. WOBA Against,0.53,0.51,0,1.58,N/A,N/A,0.23,0.41
,,,,,,,,
Cortes vs BOS 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,2,1,0,1,0,7,5,16
Percentage,12.50%,6.25%,0.00%,6.25%,0.00%,43.75%,31.25%,75.00%
Avr. Est. BABIP Against,0.63,0.95,0,0.61,N/A,N/A,0.09,0.36
Avr. Est. WOBA Against,0.57,0.93,0,1.2,N/A,N/A,0.09,0.41
,,,,,,,,
Pivetta vs NYY 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,4,0,0,0,3,1,3,11
Percentage,36.36%,0.00%,0.00%,0.00%,27.27%,9.09%,27.27%,36.36%
Avr. Est. BABIP Against,0.41,0,0,0,N/A,N/A,0.09,0.29
Avr. Est. WOBA Against,0.4,0,0,0,N/A,N/A,0.09,0.29
,,,,,,,,
Heasley vs DET 2021 Record ,,,,,,,,
,,,,,,,,
Skubal vs KC 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,8,1,0,6,2,14,24,55
Percentage,14.55%,1.82%,0.00%,10.91%,3.64%,25.45%,43.64%,69.09%
Avr. Est. BABIP Against,0.49,0.69,0,0.82,N/A,N/A,0.2,0.38
Avr. Est. WOBA Against,0.48,1.19,0,1.55,N/A,N/A,0.19,0.5
,,,,,,,,
Alcantara vs TB 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,1,1,0,0,2,7,11,22
Percentage,4.55%,4.55%,0.00%,0.00%,9.09%,31.82%,50.00%,81.82%
Avr. Est. BABIP Against,0.19,0.97,0,0,N/A,N/A,0.14,0.2
Avr. Est. WOBA Against,0.18,0.93,0,0,N/A,N/A,0.13,0.2
,,,,,,,,
McClanahan vs MIA 2021 Record ,,,,,,,,
,,,,,,,,
Lyles vs BAL 2021 Record ,,,,,,,,
,,,,,,,,
Ellis vs TEX 2021 Record ,,,,,,,,
,,,,,,,,
Fedde vs CIN 2021 Record ,,,,,,,,
,,,,,,,,
Gutierrez vs WSH 2021 Record ,,,,,,,,
,,,,,,,,
Ray vs MIN 2021 Record ,,,,,,,,
,,,,,,,,
Gant vs TOR 2021 Record ,,,,,,,,
,,,,,,,,
Hill vs MIL 2021 Record ,,,,,,,,
,,,,,,,,
Burnes vs NYM 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,4,2,0,0,0,8,7,21
Percentage,19.05%,9.52%,0.00%,0.00%,0.00%,38.10%,33.33%,71.43%
Avr. Est. BABIP Against,0.5,0.62,0,0,N/A,N/A,0.32,0.43
Avr. Est. WOBA Against,0.47,0.66,0,0,N/A,N/A,0.35,0.44
,,,,,,,,
Ynoa vs SD 2021 Record ,,,,,,,,
,,,,,,,,
Velasquez vs ATL 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,2,1,1,3,5,9,12,33
Percentage,6.06%,3.03%,3.03%,9.09%,15.15%,27.27%,36.36%,63.64%
Avr. Est. BABIP Against,0.86,0.86,0.03,0.81,N/A,N/A,0.27,0.46
Avr. Est. WOBA Against,0.83,0.86,0.03,1.53,N/A,N/A,0.27,0.56
,,,,,,,,
Lynn vs CLE 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,10,4,0,2,3,19,26,64
Percentage,15.62%,6.25%,0.00%,3.12%,4.69%,29.69%,40.62%,70.31%
Avr. Est. BABIP Against,0.67,0.7,0,0.68,N/A,N/A,0.22,0.39
Avr. Est. WOBA Against,0.65,0.78,0,1.24,N/A,N/A,0.23,0.43
,,,,,,,,
Morgan vs CWS 2021 Record ,,,,,,,,
,,,,,,,,
Kershaw vs ARI 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,2,3,0,1,2,13,17,38
Percentage,5.26%,7.89%,0.00%,2.63%,5.26%,34.21%,44.74%,78.95%
Avr. Est. BABIP Against,0.5,0.73,0,0.69,N/A,N/A,0.23,0.35
Avr. Est. WOBA Against,0.48,1.13,0,1.19,N/A,N/A,0.24,0.43
,,,,,,,,
Gallen vs LAD 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,9,3,0,1,4,12,17,46
Percentage,19.57%,6.52%,0.00%,2.17%,8.70%,26.09%,36.96%,63.04%
Avr. Est. BABIP Against,0.42,0.83,0,0.41,N/A,N/A,0.18,0.38
Avr. Est. WOBA Against,0.39,0.81,0,0.81,N/A,N/A,0.22,0.42
,,,,,,,,
DeSclafani vs COL 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,19,2,0,0,5,26,43,95
Percentage,20.00%,2.11%,0.00%,0.00%,5.26%,27.37%,45.26%,72.63%
Avr. Est. BABIP Against,0.53,0.51,0,0,N/A,N/A,0.19,0.31
Avr. Est. WOBA Against,0.51,0.63,0,0,N/A,N/A,0.21,0.32
,,,,,,,,
Gray vs SF 2021 Record ,,,,,,,,
,Single,Double,Triple,Home Run,Walk,Strikeout,Field Out,Total
Instances,14,1,0,2,4,21,17,59
Percentage,23.73%,1.69%,0.00%,3.39%,6.78%,35.59%,28.81%,64.41%
Avr. Est. BABIP Against,0.72,0.85,0,0.31,N/A,N/A,0.16,0.46
Avr. Est. WOBA Against,0.68,1.49,0,0.58,N/A,N/A,0.18,0.48
,,,,,,,,
Anderson vs LAA 2021 Record ,,,,,,,,
,,,,,,,,
Barria vs SEA 2021 Record ,,,,,,,,
